pop2024,pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lsad,lng,lat,type,rank,density
5258,5337,-0.00379,Grambling,5.941,32.5263,-92.708,grambling-la,LA,2,-92.708,32.5263,City,101,885
5205,5404,-0.00951,St. Martinville,3.169,30.127,-91.8311,st-martinville-la,LA,2,-91.8311,30.127,City,102,1642
5204,5734,-0.02474,Schriever,14.254,29.7287,-90.8354,schriever-la,LA,5,-90.8354,29.7287,CDP,103,365
4953,5176,0.01538,Swartz,8.135,32.5809,-91.9869,swartz-la,LA,5,-91.9869,32.5809,CDP,104,609
4876,4931,-0.00286,Port Allen,2.835,30.4438,-91.2074,port-allen-la,LA,2,-91.2074,30.4438,City,105,1720
4851,4889,-0.00185,Avondale,5.557,29.901,-90.197,avondale-la,LA,5,-90.197,29.901,CDP,106,873
4851,5185,-0.01682,Carlyss,11.062,30.1767,-93.3696,carlyss-la,LA,5,-93.3696,30.1767,CDP,107,439
4780,5936,-0.05701,Brownfields,4.142,30.5434,-91.1241,brownfields-la,LA,5,-91.1241,30.5434,CDP,108,1154
4759,5061,-0.01572,Marksville,4.813,31.1254,-92.0651,marksville-la,LA,2,-92.0651,31.1254,City,109,989
4693,4926,-0.00782,Monticello,2.391,30.4881,-91.0447,monticello-la,LA,5,-91.0447,30.4881,CDP,110,1963
4606,4842,-0.01265,Winnsboro,3.998,32.1647,-91.7206,winnsboro-la,LA,2,-91.7206,32.1647,City,111,1152
4592,3866,0.04127,Eastwood,6.349,32.5607,-93.5625,eastwood-la,LA,5,-93.5625,32.5607,CDP,112,723
4566,4954,-0.0208,Westlake,3.824,30.261,-93.2635,westlake-la,LA,2,-93.2635,30.261,City,113,1194
4529,4711,-0.01005,Mansfield,3.652,32.0353,-93.6997,mansfield-la,LA,2,-93.6997,32.0353,City,114,1240
4517,4795,-0.01526,Jeanerette,2.308,29.9152,-91.6763,jeanerette-la,LA,2,-91.6763,29.9152,City,115,1957
4460,4742,-0.01567,Berwick,5.901,29.7005,-91.2352,berwick-la,LA,4,-91.2352,29.7005,Village,116,756
4420,4774,-0.01974,Springhill,6.213,33.0019,-93.4615,springhill-la,LA,2,-93.4615,33.0019,City,117,711
4400,4519,-0.00677,Haughton,5.722,32.5276,-93.5042,haughton-la,LA,4,-93.5042,32.5276,Village,118,769
4385,4207,0.01037,Arabi,1.755,29.953,-89.9963,arabi-la,LA,5,-89.9963,29.953,CDP,119,2499
4274,4533,-0.01498,New Roads,4.582,30.6959,-91.4538,new-roads-la,LA,2,-91.4538,30.6959,City,120,933
4145,4168,-0.00145,Jena,5.498,31.6902,-92.1286,jena-la,LA,4,-92.1286,31.6902,Village,121,754
4110,4329,-0.01321,Kaplan,2.329,30.006,-92.2839,kaplan-la,LA,2,-92.2839,30.006,City,122,1765
4050,3718,-0.01794,Brownsville,3.475,32.4883,-92.1618,brownsville-la,LA,5,-92.1618,32.4883,CDP,123,1165
4043,4019,0.00149,Amite City,3.877,30.7322,-90.5153,amite-city-la,LA,4,-90.5153,30.7322,Village,124,1043
3988,4111,-0.00771,Jonesboro,4.847,32.2335,-92.7106,jonesboro-la,LA,4,-92.7106,32.2335,Village,125,823
3981,4176,-0.01216,Church Point,2.894,30.4037,-92.2145,church-point-la,LA,4,-92.2145,30.4037,Village,126,1376
3937,3987,-0.00329,Jackson,4.464,30.8346,-91.2085,jackson-la,LA,4,-91.2085,30.8346,Village,127,882
3859,4130,-0.01732,Winnfield,3.642,31.924,-92.6425,winnfield-la,LA,2,-92.6425,31.924,City,128,1060
3829,4346,-0.01593,Bayou Vista,1.802,29.6906,-91.267,bayou-vista-la,LA,5,-91.267,29.6906,CDP,129,2125
3786,3989,-0.01329,Vidalia,2.594,31.5668,-91.4404,vidalia-la,LA,4,-91.4404,31.5668,Village,130,1460
3783,3879,-0.0063,Richwood,2.516,32.4486,-92.0773,richwood-la,LA,4,-92.0773,32.4486,Village,131,1504
3764,3951,-0.01233,Ball,7.951,31.4187,-92.4084,ball-la,LA,4,-92.4084,31.4187,Village,132,473
3715,3609,-0.01065,Hahnville,5.558,29.9613,-90.424,hahnville-la,LA,5,-90.424,29.9613,CDP,133,668
3606,6086,-0.1367,Violet,3.926,29.8967,-89.8929,violet-la,LA,5,-89.8929,29.8967,CDP,134,918
3562,3637,-0.00531,Franklinton,4.371,30.8482,-90.1459,franklinton-la,LA,4,-90.1459,30.8482,Village,135,815
3339,3521,-0.01359,Blanchard,3.466,32.6027,-93.8831,blanchard-la,LA,4,-93.8831,32.6027,Village,136,963
